idP1,idP2
862,102
861,4269
861,11004
861,632
861,667
861,10857
861,223
861,13193
861,13
861,11873
861,12811
861,2095
864,1142
864,1378
865,1737
865,1783
865,972
865,172
865,887
865,2165
872,1633
872,14485
871,236
871,2233
873,1265
873,18421
874,593
874,1030
874,10453
874,751
874,12585
874,9462
874,18841
874,2243
874,153
874,1390
874,12490
874,887
876,872
876,521
876,283
877,10114
883,2283
885,2065
885,1442
890,1115
890,5462
887,2187
887,872
887,1633
887,10962
887,1448
887,1030
887,2055
887,10945
887,1978
887,9814
887,17881
887,1232
887,19320
887,42
887,17446
887,8885
887,213
887,13618
889,1749
889,756
889,117
892,2055
892,18410
892,154
895,1515
897,9085
897,319
898,448
900,7355
906,514
906,10163
901,9924
901,14311
901,6996
901,17938
907,12163
907,2089
911,16142
911,9488
911,8354
911,9341
911,13149
917,397
918,406
918,13227
918,12730
918,12173
918,13685
918,8652
922,376
923,13538
923,12535
923,13915
927,224
925,1114
925,8125
926,18935
926,17809
926,16766
926,8596
926,18670
926,17621
926,748
926,19061
926,8676
926,17397
926,16618
926,8178
926,19043
929,10667
929,8847
929,1914
930,16789
930,1913
930,9814
930,1978
928,7356
932,2016
934,10007
937,698
937,1665
937,17032
937,18115
937,10358
937,1511
937,10062
936,2123
938,12405
938,7545
939,2625
939,6691
939,4727
941,7989
945,8
945,4205
945,686
948,8272
948,319
949,10945
949,12585
950,1800
950,16487
950,14008
950,19152
950,12510
950,1602
953,542
954,1990
954,7641
955,345
955,787
955,2057
955,1269
956,10731
956,319
960,1403
958,1460
961,9063
961,1522
961,16695
961,2118
961,164
961,18925
961,3038
961,2054
961,8662
961,13681
961,157
962,667
962,9435
962,12802
962,1896
964,1028
964,11229
965,2233
965,236
965,9842
965,871
968,13000
969,4787
969,13552
969,12557
969,7309
969,844
970,510
973,9328
973,10465
973,7404
976,4071
976,2492
974,9342
979,1740
981,2068
981,70
982,91
985,397
985,252
990,1130
995,1302
996,12122
996,892
996,1661
996,1842
996,440
996,64
998,2055
999,8493
999,1684
999,1389
1000,4312
1000,9344
1002,2278
1006,1019
1006,950
1006,1465
1008,831
1008,1077
1014,3843
1018,10485
1019,8892
1019,1465
1019,2033
1019,1602
1019,950
1019,1360
1020,2177
1020,2283
1020,2264
1022,2413
1025,16842
1025,17426
1025,12
1025,9890
1025,1107
1025,9839
1025,16798
1025,13791
1025,296
1025,13494
1036,12955
1036,12180
1036,11459
1036,7314
1036,13570
1036,13188
1036,11799
1036,8295
1036,13930
1036,13472
1036,742
1036,13427
1036,11121
1036,11335
1036,12432
1036,13475
1036,11188
1036,11367
1036,13192
1036,11610
1036,11869
1036,13638
1036,13353
1036,13268
1036,12480
1036,15975
1036,10972
1036,11257
1036,13750
1036,10138
1036,13634
1036,10543
1036,12738
1036,178
1036,13327
1036,11490
1036,13377
1036,13075
1036,16383
1036,13017
1036,13186
1036,11749
1036,13569
1036,14632
1036,12685
1036,8757
1036,11446
1036,13497
1036,16342
1036,9047
1036,12033
1036,12366
1036,13817
1036,11388
1036,12263
1036,190
1036,12316
1036,13803
1036,12758
1036,13049
1036,8560
1037,6469
1037,19565
1037,1684
1037,1196
1037,17842
1037,17664
1039,1695
1041,5463
1040,6017
1042,4719
1042,17901
1042,342
1042,1620
1042,4289
1042,1507
1042,16513
1042,18131
1042,6541
1042,1049
1044,2037
1044,1895
1044,66
1044,7838
1044,11991
1044,19120
1044,10870
1044,7236
1044,7086
1044,361
1044,9402
1046,1129
1047,1734
1047,7451
1048,7955
1048,13518
1049,6908
1049,3762
1049,9060
1049,6362
1049,1378
1051,952
1051,18149
1051,1059
1053,2057
1053,787
1053,16
1053,1633
1055,18591
1055,753
1055,9764
1055,18177
1055,12339
1057,9046
1057,9478
1057,929
1057,649
1057,11520
1057,10857
1058,521
1058,8021
1059,952
1060,9671
1060,17530
1060,11280
1062,13149
1063,18421
1063,17656
1063,17513
1063,8523
1063,3762
1063,18480
1063,11873
1063,2072
1063,732
1063,19374
1063,5168
1063,16749
1063,1788
1063,17746
1063,10261
1066,1912
1066,887
1065,6014
1067,6642
1067,5987
1067,4764
1064,11762
1070,2063
1069,7492
1069,18155
1069,9351
1069,7566
1074,6756
1071,473
1075,2585
1075,8832
1078,9186
1082,5967
1082,19264
1082,16596
1082,6687
1082,6001
1082,17617
1082,6489
1082,5561
1087,830
1087,17629
1087,315
1087,14858
1087,11842
1095,18640
1095,16436
1096,1132
1097,5597
1097,12412
1097,418
1097,1813
1097,8211
1099,1589
1100,7995
1100,1003
1100,9717
1100,17626
1102,674
1103,18911
1104,4067
1106,319
1106,7133
1108,8786
1108,2947
1108,5817
1108,14864
1108,8742
1108,360
1109,782
1109,353
1114,12849
1114,830
1114,473
1118,13373
1119,2202
1119,1010
1119,689
1119,406
1124,2030
1124,10017
1124,11066
1124,7170
1124,11922
1124,161
1124,14356
1124,13798
1124,10384
1124,940
1124,5797
1125,18988
1125,13808
1125,518
1125,8313
1125,19182
1125,2211
1125,1280
1125,1605
1125,10453
1127,17534
1127,688
1127,17272
1127,9736
1127,17383
1127,1077
1127,12459
1127,18355
1127,7147
1127,16608
1132,174
1132,4
1130,901
