idA1,idA2,idP
14350,2198,148
15462,6336,148
15462,13739,148
15462,6841,148
15462,14350,148
15462,6771,148
15462,10417,148
15462,2198,148
6771,6336,148
6771,13739,148
6771,6841,148
6771,14350,148
6771,15462,148
6771,10417,148
6771,2198,148
10417,6336,148
10417,13739,148
10417,6841,148
10417,14350,148
10417,15462,148
10417,6771,148
10417,2198,148
2198,6336,148
2198,13739,148
2198,6841,148
2198,14350,148
2198,15462,148
2198,6771,148
2198,10417,148
12014,9851,149
9851,12014,149
16568,6228,150
16568,4511,150
16568,9577,150
16568,14564,150
6228,16568,150
6228,4511,150
6228,9577,150
6228,14564,150
4511,16568,150
4511,6228,150
4511,9577,150
4511,14564,150
9577,16568,150
9577,6228,150
9577,4511,150
9577,14564,150
14564,16568,150
14564,6228,150
14564,4511,150
14564,9577,150
8730,14615,151
8730,276,151
8730,4048,151
14615,8730,151
14615,276,151
14615,4048,151
276,8730,151
276,14615,151
276,4048,151
4048,8730,151
4048,14615,151
4048,276,151
717,9774,152
717,16314,152
9774,717,152
9774,16314,152
16314,717,152
16314,9774,152
18185,13944,153
18185,17330,153
18185,11398,153
18185,9683,153
13944,18185,153
13944,17330,153
13944,11398,153
13944,9683,153
17330,18185,153
17330,13944,153
17330,11398,153
17330,9683,153
11398,18185,153
11398,13944,153
11398,17330,153
11398,9683,153
9683,18185,153
9683,13944,153
9683,17330,153
9683,11398,153
14824,17112,154
14824,1642,154
14824,16691,154
14824,4179,154
17112,14824,154
17112,1642,154
17112,16691,154
17112,4179,154
1642,14824,154
1642,17112,154
1642,16691,154
1642,4179,154
16691,14824,154
16691,17112,154
16691,1642,154
16691,4179,154
4179,14824,154
4179,17112,154
4179,1642,154
4179,16691,154
16236,1941,155
16236,16239,155
16236,587,155
1941,16236,155
1941,16239,155
1941,587,155
16239,16236,155
16239,1941,155
16239,587,155
587,16236,155
587,1941,155
587,16239,155
3601,5430,156
3601,4802,156
3601,292,156
3601,7414,156
3601,6400,156
5430,3601,156
5430,4802,156
5430,292,156
5430,7414,156
5430,6400,156
4802,3601,156
4802,5430,156
4802,292,156
4802,7414,156
4802,6400,156
292,3601,156
292,5430,156
292,4802,156
292,7414,156
292,6400,156
7414,3601,156
7414,5430,156
7414,4802,156
7414,292,156
7414,6400,156
6400,3601,156
6400,5430,156
6400,4802,156
6400,292,156
6400,7414,156
3758,6413,157
6413,3758,157
2744,7358,158
2744,16988,158
7358,2744,158
7358,16988,158
16988,2744,158
16988,7358,158
18078,1014,159
18078,235,159
1014,18078,159
1014,235,159
235,18078,159
235,1014,159
7653,1544,160
7653,8073,160
7653,1937,160
7653,14411,160
1544,7653,160
1544,8073,160
1544,1937,160
1544,14411,160
8073,7653,160
8073,1544,160
8073,1937,160
8073,14411,160
1937,7653,160
1937,1544,160
1937,8073,160
1937,14411,160
14411,7653,160
14411,1544,160
14411,8073,160
14411,1937,160
8376,2587,161
8376,9147,161
8376,16630,161
2587,8376,161
2587,9147,161
2587,16630,161
9147,8376,161
9147,2587,161
9147,16630,161
16630,8376,161
16630,2587,161
16630,9147,161
7253,7263,162
7253,13962,162
7263,7253,162
7263,13962,162
13962,7253,162
13962,7263,162
12803,11727,163
12803,5935,163
12803,4710,163
11727,12803,163
11727,5935,163
11727,4710,163
5935,12803,163
5935,11727,163
5935,4710,163
4710,12803,163
4710,11727,163
4710,5935,163
15449,8067,164
15449,11601,164
15449,15258,164
8067,15449,164
8067,11601,164
8067,15258,164
11601,15449,164
11601,8067,164
11601,15258,164
15258,15449,164
15258,8067,164
15258,11601,164
7463,9512,165
7463,5504,165
7463,17510,165
7463,7685,165
9512,7463,165
9512,5504,165
9512,17510,165
9512,7685,165
5504,7463,165
5504,9512,165
5504,17510,165
5504,7685,165
17510,7463,165
17510,9512,165
17510,5504,165
17510,7685,165
7685,7463,165
7685,9512,165
7685,5504,165
7685,17510,165
1354,4840,166
1354,17258,166
1354,11406,166
1354,17048,166
1354,18126,166
1354,17376,166
4840,1354,166
4840,17258,166
4840,11406,166
4840,17048,166
4840,18126,166
4840,17376,166
17258,1354,166
17258,4840,166
17258,11406,166
17258,17048,166
17258,18126,166
17258,17376,166
11406,1354,166
11406,4840,166
11406,17258,166
11406,17048,166
11406,18126,166
11406,17376,166
17048,1354,166
17048,4840,166
17048,17258,166
17048,11406,166
17048,18126,166
17048,17376,166
18126,1354,166
18126,4840,166
18126,17258,166
18126,11406,166
18126,17048,166
18126,17376,166
17376,1354,166
17376,4840,166
17376,17258,166
17376,11406,166
17376,17048,166
17376,18126,166
12052,6489,167
12052,15521,167
6489,12052,167
6489,15521,167
15521,12052,167
15521,6489,167
15505,5950,170
15505,11687,170
15505,16084,170
5950,15505,170
5950,11687,170
5950,16084,170
11687,15505,170
11687,5950,170
11687,16084,170
16084,15505,170
16084,5950,170
16084,11687,170
17708,13025,172
17708,13380,172
17708,2744,172
13025,17708,172
13025,13380,172
13025,2744,172
13380,17708,172
13380,13025,172
13380,2744,172
2744,17708,172
2744,13025,172
2744,13380,172
9206,11522,173
11522,9206,173
1378,5695,174
1378,16655,174
1378,16709,174
1378,7601,174
5695,1378,174
5695,16655,174
5695,16709,174
5695,7601,174
16655,1378,174
16655,5695,174
16655,16709,174
16655,7601,174
16709,1378,174
16709,5695,174
16709,16655,174
16709,7601,174
7601,1378,174
7601,5695,174
7601,16655,174
7601,16709,174
6205,17227,175
17227,6205,175
2744,9644,176
2744,17708,176
2744,13380,176
2744,5724,176
2744,9171,176
9644,2744,176
9644,17708,176
9644,13380,176
9644,5724,176
9644,9171,176
17708,2744,176
17708,9644,176
17708,13380,176
17708,5724,176
17708,9171,176
13380,2744,176
13380,9644,176
13380,17708,176
13380,5724,176
13380,9171,176
5724,2744,176
5724,9644,176
5724,17708,176
5724,13380,176
5724,9171,176
9171,2744,176
9171,9644,176
9171,17708,176
9171,13380,176
9171,5724,176
4605,16599,177
4605,18295,177
4605,6283,177
16599,4605,177
16599,18295,177
16599,6283,177
18295,4605,177
18295,16599,177
18295,6283,177
6283,4605,177
6283,16599,177
6283,18295,177
6272,3663,178
6272,13074,178
6272,12963,178
6272,17309,178
6272,5685,178
3663,6272,178
3663,13074,178
3663,12963,178
3663,17309,178
3663,5685,178
13074,6272,178
13074,3663,178
13074,12963,178
13074,17309,178
13074,5685,178
12963,6272,178
12963,3663,178
12963,13074,178
12963,17309,178
12963,5685,178
17309,6272,178
17309,3663,178
17309,13074,178
17309,12963,178
17309,5685,178
5685,6272,178
5685,3663,178
5685,13074,178
5685,12963,178
5685,17309,178
13742,8471,179
13742,10673,179
13742,5726,179
8471,13742,179
8471,10673,179
8471,5726,179
10673,13742,179
10673,8471,179
10673,5726,179
5726,13742,179
5726,8471,179
5726,10673,179
9817,13692,180
13692,9817,180
2182,18106,181
2182,15847,181
2182,13084,181
18106,2182,181
18106,15847,181
18106,13084,181
15847,2182,181
15847,18106,181
15847,13084,181
13084,2182,181
13084,18106,181
13084,15847,181
6311,14879,182
14879,6311,182
3201,9145,184
3201,7376,184
3201,1860,184
9145,3201,184
9145,7376,184
9145,1860,184
7376,3201,184
7376,9145,184
7376,1860,184
1860,3201,184
1860,9145,184
1860,7376,184
4198,16123,185
4198,9895,185
16123,4198,185
16123,9895,185
9895,4198,185
9895,16123,185
2021,4246,186
4246,2021,186
12444,16486,187
16486,12444,187
5129,14711,188
14711,5129,188
3482,872,189
3482,1860,189
872,3482,189
872,1860,189
1860,3482,189
1860,872,189
16388,11760,190
16388,16386,190
11760,16388,190
11760,16386,190
16386,16388,190
16386,11760,190
6766,1740,191
6766,7270,191
1740,6766,191
1740,7270,191
7270,6766,191
7270,1740,191
17154,18273,193
17154,4889,193
17154,17501,193
18273,17154,193
18273,4889,193
18273,17501,193
4889,17154,193
4889,18273,193
4889,17501,193
17501,17154,193
17501,18273,193
17501,4889,193
16340,9160,195
16340,16359,195
16340,293,195
9160,16340,195
9160,16359,195
9160,293,195
16359,16340,195
16359,9160,195
16359,293,195
293,16340,195
293,9160,195
293,16359,195
15254,8882,196
8882,15254,196
6441,8482,197
6441,3485,197
8482,6441,197
8482,3485,197
3485,6441,197
3485,8482,197
14081,4233,198
4233,14081,198
1263,15816,199
1263,15162,199
1263,6184,199
1263,7845,199
15816,1263,199
15816,15162,199
15816,6184,199
15816,7845,199
15162,1263,199
15162,15816,199
15162,6184,199
15162,7845,199
6184,1263,199
6184,15816,199
6184,15162,199
6184,7845,199
7845,1263,199
7845,15816,199
7845,15162,199
7845,6184,199
17032,2373,200
17032,5635,200
2373,17032,200
2373,5635,200
5635,17032,200
5635,2373,200
5435,3583,201
5435,16990,201
5435,18119,201
3583,5435,201
3583,16990,201
3583,18119,201
