idP,idC
16988,0
16990,0
16992,0
16995,0
16996,0
16998,0
16999,0
17006,0
17007,0
17012,0
17013,0
17015,0
17016,0
17018,0
17021,0
17023,0
17024,0
17026,0
17027,0
17028,0
17032,0
17033,0
17038,0
17042,0
17043,0
17046,0
17049,0
17051,0
17052,0
17053,0
17055,0
17057,0
17060,0
17064,0
17066,0
17070,0
17073,0
17074,0
17078,0
17079,0
17080,0
17082,0
17085,0
17087,0
17088,0
17093,0
17094,0
17096,0
17099,0
17101,0
17104,0
17108,0
17110,0
17114,0
17116,0
17118,0
17121,0
17122,0
17124,0
17126,0
17127,0
17128,0
17130,0
17131,0
17136,0
17137,0
17138,0
17139,0
17140,0
17142,0
17144,0
17145,0
17146,0
17147,0
17149,0
17153,0
17156,0
17157,0
17158,0
17160,0
17163,0
17164,0
17165,0
17167,0
17168,0
17171,0
17173,0
17176,0
17185,0
17190,0
17192,0
17196,0
17198,0
17199,0
17201,0
17204,0
17221,0
17224,0
17226,0
17227,0
17228,0
17232,0
17240,0
17242,0
17243,0
17244,0
17250,0
17253,0
17255,0
17260,0
17262,0
17263,0
17265,0
17267,0
17268,0
17274,0
17275,0
17276,0
17277,0
17280,0
17283,0
17286,0
17290,0
17291,0
17292,0
17293,0
17295,0
17297,0
17298,0
17299,0
17303,0
17304,0
17305,0
17307,0
17308,0
17311,0
17314,0
17319,0
17322,0
17324,0
17325,0
17326,0
17327,0
17329,0
17331,0
17335,0
17339,0
17340,0
17341,0
17342,0
17343,0
17344,0
17345,0
17346,0
17347,0
17348,0
17350,0
17353,0
17359,0
17361,0
17363,0
17365,0
17367,0
17371,0
17375,0
17376,0
17379,0
17382,0
17384,0
17385,0
17386,0
17389,0
17391,0
17392,0
17393,0
17396,0
17401,0
17402,0
17404,0
17405,0
17408,0
17409,0
17412,0
17419,0
17423,0
17429,0
17430,0
17432,0
17434,0
17436,0
17437,0
17439,0
17444,0
17447,0
17448,0
17450,0
17451,0
17452,0
17453,0
17454,0
17456,0
17460,0
17463,0
17465,0
17470,0
17471,0
17475,0
17480,0
17484,0
17485,0
17487,0
17489,0
17490,0
17491,0
17492,0
17494,0
17496,0
17498,0
17500,0
17501,0
17502,0
17504,0
17507,0
17509,0
17510,0
17512,0
17514,0
17515,0
17517,0
17518,0
17524,0
17526,0
17528,0
17529,0
17530,0
17535,0
17536,0
17537,0
17538,0
17542,0
17543,0
17544,0
17546,0
17549,0
17553,0
17556,0
17557,0
17558,0
17560,0
